id,theme,metric_or_fact,value,year,source_url,confidence,notes
S13,UE investissement cyber,Difficulte recrutement talent cyber,76%,2025,https://www.enisa.europa.eu/news/whats-driving-cybersecurity-investments-and-where-lie-the-challenges,high,ENISA communique
S13,UE investissement cyber,Difficulte retention talent cyber,71%,2025,https://www.enisa.europa.eu/news/whats-driving-cybersecurity-investments-and-where-lie-the-challenges,high,ENISA communique
S13,UE investissement cyber,Patching vuln critiques >3 mois,28%,2025,https://www.enisa.europa.eu/news/whats-driving-cybersecurity-investments-and-where-lie-the-challenges,high,ENISA communique
S14,UE maturite sectorielle,Secteurs les plus matures,electricite telecoms banque,2024,https://www.enisa.europa.eu/news/enisa-nis360-2024-report,high,ENISA NIS360
S14,UE maturite sectorielle,Secteurs en zone de risque,6 secteurs,2024,https://www.enisa.europa.eu/news/enisa-nis360-2024-report,high,ENISA NIS360
S15,UE incidents telecom,Incidents telecom reportes,188 incidents,2024,https://www.enisa.europa.eu/topics/state-of-cybersecurity-in-the-eu,high,26 MS + 2 EFTA mentionnes
S16,Reference gouvernance,Cadre standard cyber risque,CSF 2.0,2026,https://www.nist.gov/cyberframework,high,NIST
S17,Operations breach,SMB ciblage relatif,~4x vs grandes organisations,2025,https://www.verizon.com/business/resources/reports/dbir/,medium,DBIR page officielle
S18,Strategie cyber,Priorite investissement cyber lie geopolitique,60%,2026,https://www.pwc.com/gx/en/issues/cybersecurity/global-digital-trust-insights.html,medium,PwC DTI
S18,Strategie cyber,Organisations pleinement confiantes sur toutes vulnerabilites,6%,2026,https://www.pwc.com/gx/en/issues/cybersecurity/global-digital-trust-insights.html,medium,PwC DTI
S18,Strategie cyber,Organisations depensant nettement plus en proactif,24%,2026,https://www.pwc.com/gx/en/issues/cybersecurity/global-digital-trust-insights.html,medium,PwC DTI
S19,Cout incident global,Cout moyen breach,4.4M USD,2025,https://www.ibm.com/reports/data-breach,medium,IBM/Ponemon
S20,Gouvernance digitale,Cadre policy digital security,risk-management oriented approach,2026,https://www.oecd.org/digital/digital-security/,high,OECD
S21,Belgique menace cyber,Emails suspects traites,9929354,2025,https://ccb.belgium.be/en,high,CCB key figures 2025
S21,Belgique menace cyber,URL malveillantes detectees,176183,2025,https://ccb.belgium.be/en,high,CCB key figures 2025
S21,Belgique menace cyber,Notifications cyberattaques,556,2025,https://ccb.belgium.be/en,high,CCB key figures 2025
S21,Belgique menace cyber,Notifications NIS2,635,2025,https://ccb.belgium.be/en,high,CCB key figures 2025
S21,Belgique menace cyber,Cas ransomware,105,2025,https://ccb.belgium.be/en,high,CCB key figures 2025
S21,Belgique menace cyber,Attaques DDoS,63,2025,https://ccb.belgium.be/en,high,CCB key figures 2025
S22,Belgique evolution incidents,Incidents signales variation,+70%,2025,https://ccb.belgium.be/fr/news/plus-dattaques-plus-de-signalements-la-realite-cyber-de-la-belgique-en-2025,high,CCB article
S22,Belgique evolution incidents,Incidents cyber variation,+58%,2025,https://ccb.belgium.be/fr/news/plus-dattaques-plus-de-signalements-la-realite-cyber-de-la-belgique-en-2025,high,CCB article
S22,Belgique evolution incidents,Compromissions de comptes,144,2025,https://ccb.belgium.be/fr/news/plus-dattaques-plus-de-signalements-la-realite-cyber-de-la-belgique-en-2025,high,CCB article
S23,Suisse menace cyber,Signalements cyberincidents,35727,2025,https://www.ncsc.admin.ch/ncsc/fr/home/dokumentation/berichte/lageberichte/halbjahresbericht-2025-1.html,high,NCSC semi-annual 2025/1
S23,Suisse menace cyber,Part fraude,58%,2025,https://www.ncsc.admin.ch/ncsc/fr/home/dokumentation/berichte/lageberichte/halbjahresbericht-2025-1.html,high,NCSC semi-annual 2025/1
S23,Suisse menace cyber,Incidents ransomware signales,57,2025,https://www.ncsc.admin.ch/ncsc/fr/home/dokumentation/berichte/lageberichte/halbjahresbericht-2025-1.html,high,NCSC semi-annual 2025/1
S24,Suisse menace cyber,Signalements volontaires,29006,2025,https://www.ncsc.admin.ch/ncsc/fr/home/dokumentation/berichte/lageberichte/halbjahresbericht-2025-2.html,high,NCSC semi-annual 2025/2
S24,Suisse menace cyber,Signalements obligatoires,145,2025,https://www.ncsc.admin.ch/ncsc/fr/home/dokumentation/berichte/lageberichte/halbjahresbericht-2025-2.html,high,NCSC semi-annual 2025/2
S24,Suisse menace cyber,Part fraude,52%,2025,https://www.ncsc.admin.ch/ncsc/fr/home/dokumentation/berichte/lageberichte/halbjahresbericht-2025-2.html,high,NCSC semi-annual 2025/2
S25,Suisse capacite institutionnelle,Publication continue statistiques incidents,yes,2026,https://www.ncsc.admin.ch/ncsc/fr/home/aktuell/aktuelle-zahlen.html,high,NCSC dashboard hebdomadaire
S26,Belgique base entreprises,Statbel theme entreprises source officielle,yes,2026,https://statbel.fgov.be/en/themes/enterprises,high,base segmentation BE
